Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,1.80,43.95,35.83,76.34,38.00
1000,2.00,47.62,39.00,74.39,33.72
1500,3.40,49.58,34.16,72.93,34.12
2000,3.20,46.43,36.73,77.73,30.36
2500,5.20,43.90,36.64,78.40,28.30
3000,6.80,44.21,36.02,76.73,30.32
3500,6.20,41.70,38.19,73.95,31.20
4000,7.00,40.77,39.06,74.90,28.00
4500,10.40,43.45,34.32,77.03,27.92
5000,8.80,44.64,32.41,75.83,32.16
5500,9.40,48.08,33.90,74.06,26.42
6000,12.00,42.29,34.67,74.16,31.06
6500,11.40,40.78,40.00,73.39,27.94
7000,10.80,48.66,34.36,65.10,28.79
7500,12.40,45.38,32.78,72.18,25.57
8000,10.00,42.32,34.68,73.95,27.60
8500,11.60,45.62,33.76,72.35,20.61
9000,14.80,45.27,31.01,70.92,23.39
9500,15.40,40.37,31.74,74.90,23.75
10000,15.80,44.21,29.64,71.04,22.75
10500,13.60,44.16,34.14,72.14,21.71
11000,11.80,43.37,32.84,71.88,26.43
11500,16.40,37.19,24.58,74.81,28.46
12000,17.80,34.65,31.01,76.92,25.71
12500,17.60,42.29,29.51,67.78,25.21
13000,17.40,39.58,31.06,71.43,23.90
13500,18.20,39.03,33.61,70.52,19.01
14000,17.60,38.82,35.12,69.69,20.08
14500,18.40,37.25,28.51,70.36,20.25
15000,20.20,38.11,26.27,70.48,20.88
15500,19.60,32.42,34.38,70.90,23.77
16000,19.60,38.66,30.13,69.26,19.57
16500,18.20,37.05,32.65,68.16,22.36
17000,21.60,34.78,29.80,69.92,20.46
17500,22.40,35.97,29.87,67.20,20.75
18000,28.20,34.57,30.86,65.02,20.70
18500,25.20,35.41,27.45,67.51,20.32
19000,24.60,34.22,32.26,70.46,15.87
19500,22.40,33.60,30.43,71.71,17.57
20000,25.00,36.01,27.83,64.71,18.78
20500,25.00,34.38,27.88,68.18,21.89
21000,30.20,34.26,19.48,62.36,21.18
21500,25.20,35.06,27.39,67.83,18.00
22000,24.20,36.84,28.29,67.07,19.92
22500,31.20,29.41,29.51,66.94,13.13
23000,28.00,30.68,25.66,69.83,21.22
23500,30.00,35.46,24.05,67.80,15.94
24000,27.20,36.29,25.00,69.07,16.73
24500,27.00,37.50,28.81,62.85,17.71
25000,24.80,29.23,31.80,71.32,14.83
25500,28.20,33.33,26.36,65.62,18.22
26000,27.40,36.63,26.36,64.29,20.31
26500,26.80,29.05,28.17,66.67,19.17
27000,29.00,34.66,27.91,63.56,15.57
27500,29.20,37.40,20.91,64.66,21.12
28000,28.80,34.96,25.64,66.54,13.85
28500,32.40,32.89,25.93,62.95,15.30
29000,32.00,29.69,22.46,66.67,13.93
29500,26.40,28.27,29.80,67.87,15.58
30000,23.00,38.49,28.74,66.80,18.82
30500,24.20,38.50,26.48,64.94,19.20
31000,25.60,32.11,24.90,66.54,23.29
31500,25.00,33.73,25.30,70.45,20.72
32000,23.60,35.83,27.38,68.94,22.98
32500,24.20,32.32,27.88,70.37,21.33
33000,26.00,37.85,25.23,60.85,19.69
33500,25.80,27.34,29.87,67.55,21.37
34000,32.80,29.26,26.64,64.00,15.27
34500,29.00,32.03,25.41,67.63,18.53
35000,35.00,26.48,26.72,65.94,14.45
35500,24.80,32.54,25.88,68.12,18.43
36000,22.00,39.22,25.55,67.40,22.49
36500,20.40,36.36,28.63,72.14,19.52
37000,17.60,34.66,34.27,68.00,27.49
37500,23.80,32.48,28.46,70.24,20.65
38000,18.40,32.82,35.82,72.65,20.89
38500,19.80,36.78,29.37,72.06,21.67
39000,21.60,33.06,30.36,70.92,21.92
39500,19.40,39.22,29.58,69.81,20.15
40000,18.40,41.15,32.28,71.14,18.33
40500,20.40,35.68,30.80,71.70,18.29
41000,19.80,34.31,29.31,70.72,23.08
41500,20.80,34.55,25.93,65.67,29.63
42000,18.20,38.49,35.00,69.64,23.51
42500,19.40,39.93,30.77,67.73,21.54
43000,18.60,33.61,32.68,73.91,22.09
43500,21.20,35.69,28.57,72.47,20.50
44000,16.20,41.00,35.57,77.25,21.45
44500,21.60,38.71,24.69,71.21,18.78
45000,23.20,31.18,27.39,74.90,20.16
45500,22.00,38.49,24.34,73.47,19.32
46000,15.80,41.08,35.88,72.27,21.62
46500,19.80,37.88,28.89,71.85,23.81
47000,20.20,34.69,30.17,74.12,20.16
47500,20.40,35.65,30.47,72.34,24.37
48000,23.60,33.46,24.68,70.30,20.88
48500,20.40,37.50,25.21,70.41,23.11
49000,19.60,38.68,30.27,72.37,20.37
49500,18.80,33.98,29.05,71.91,23.73
50000,25.00,36.03,25.78,68.75,20.15
