Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,2.00,43.92,35.94,80.25,36.18,0.939497
1000,1.40,51.32,37.92,73.03,34.65,0.881183
1500,1.60,52.69,34.58,78.75,30.77,0.827844
2000,0.60,43.08,35.29,83.27,33.73,0.775536
2500,1.40,51.88,36.55,75.30,31.84,0.726094
3000,0.80,50.38,36.36,82.61,31.58,0.680964
3500,0.20,49.39,32.25,82.79,36.05,0.638779
4000,0.20,48.51,35.00,83.60,31.37,0.597330
4500,0.00,53.41,32.28,77.73,36.48,0.561016
5000,1.00,47.30,36.07,79.54,32.03,0.526214
5500,0.40,47.84,36.25,81.17,34.96,0.492822
6000,0.20,50.00,37.44,78.12,32.23,0.460795
6500,0.00,42.56,35.71,76.83,42.11,0.432448
7000,0.20,47.95,33.70,84.02,34.30,0.406221
7500,0.20,48.65,37.15,81.78,33.33,0.381097
8000,0.00,50.42,36.03,79.34,30.33,0.358826
8500,0.20,54.26,32.30,78.43,32.18,0.337371
9000,0.20,45.99,35.92,80.71,35.61,0.316964
9500,0.00,50.83,37.23,78.49,31.68,0.297825
10000,0.00,48.48,33.75,78.91,36.25,0.280479
10500,0.40,47.41,37.45,77.59,39.47,0.263662
11000,0.00,49.25,38.20,76.95,35.94,0.248259
11500,0.00,51.29,32.02,80.09,38.37,0.233339
12000,0.40,51.18,35.23,78.21,32.89,0.220071
12500,0.20,48.16,38.66,79.45,32.95,0.207323
13000,0.20,47.89,35.74,83.90,33.86,0.194715
13500,0.00,48.66,32.02,78.11,38.01,0.183770
14000,0.00,49.60,35.86,81.90,36.06,0.173125
14500,0.20,50.41,34.29,79.70,31.98,0.163520
15000,0.00,46.54,26.58,81.58,41.77,0.154427
15500,0.20,45.83,36.63,77.56,38.49,0.145970
16000,0.20,50.00,31.25,80.14,30.71,0.137960
16500,0.00,50.72,37.85,78.33,33.05,0.130187
17000,0.00,47.83,36.78,78.85,35.74,0.123016
17500,0.00,50.20,36.36,79.82,37.35,0.116035
18000,0.20,50.38,32.79,80.91,36.18,0.109596
18500,0.00,47.88,39.26,83.68,30.17,0.103474
19000,0.40,48.16,31.90,82.47,36.40,0.097630
19500,0.20,46.64,37.70,78.35,35.74,0.092183
20000,0.00,51.00,33.60,81.60,33.86,0.087091
