Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,2.40,51.75,40.91,73.77,29.39,0.830534
1000,2.60,49.79,37.26,78.14,29.25,0.686690
1500,2.00,50.40,33.48,72.51,32.90,0.573321
2000,3.60,45.04,41.34,81.59,27.17,0.477980
2500,4.60,45.00,31.28,82.52,31.08,0.400868
3000,4.80,48.62,33.74,73.31,33.20,0.337541
3500,5.20,48.70,34.00,78.26,30.28,0.281439
4000,4.80,42.59,31.97,78.75,33.47,0.238351
4500,7.40,48.16,32.79,75.63,30.37,0.200743
5000,6.60,45.31,34.71,73.64,30.98,0.168418
5500,9.40,46.77,33.33,73.84,28.69,0.142520
6000,7.20,42.56,33.61,79.05,29.92,0.119897
6500,7.60,42.35,32.55,76.54,34.01,0.100720
7000,6.80,48.47,28.02,76.01,28.51,0.085119
7500,9.60,50.00,30.74,74.07,26.48,0.071852
8000,10.60,36.63,32.08,76.74,32.05,0.061130
8500,8.20,44.92,33.46,78.19,27.13,0.051681
9000,9.40,43.85,31.35,75.10,30.98,0.043801
9500,7.00,46.40,30.65,75.39,33.58,0.036939
10000,8.60,40.89,33.76,73.58,31.87,0.031081
10500,10.60,42.32,30.08,75.19,28.74,0.026485
11000,7.20,44.86,33.47,76.60,32.85,0.022236
11500,9.20,43.91,30.20,79.69,27.88,0.018867
12000,9.40,47.37,33.04,70.99,26.94,0.016042
12500,7.20,48.82,31.64,76.02,29.51,0.013573
13000,6.40,44.73,33.07,77.17,31.78,0.011523
13500,6.00,41.13,33.19,73.85,37.40,0.010000
14000,7.60,46.93,29.44,78.08,29.92,0.010000
14500,6.80,44.15,36.55,74.48,32.17,0.010000
15000,6.60,41.31,35.97,78.78,31.28,0.010000
15500,6.60,41.77,36.76,76.11,30.60,0.010000
16000,6.20,41.22,33.33,79.53,32.92,0.010000
16500,6.60,45.69,33.89,76.52,30.36,0.010000
17000,6.40,46.48,34.04,75.28,26.89,0.010000
17500,8.00,48.29,31.78,69.23,33.86,0.010000
18000,8.60,47.95,32.68,75.21,29.55,0.010000
18500,8.80,47.33,28.57,72.06,33.71,0.010000
19000,7.80,44.16,36.36,77.48,31.45,0.010000
19500,8.40,44.36,33.06,76.77,27.87,0.010000
20000,5.40,49.00,27.60,78.17,34.14,0.010000
20500,6.40,47.01,33.07,76.47,32.30,0.010000
21000,8.80,43.90,34.98,74.89,31.16,0.010000
21500,7.60,48.03,31.99,81.28,29.02,0.010000
22000,4.80,46.43,34.63,75.09,31.30,0.010000
22500,6.40,44.40,34.47,73.44,34.82,0.010000
23000,8.00,43.63,32.35,73.54,32.52,0.010000
23500,9.00,47.15,32.43,73.19,30.04,0.010000
24000,8.40,45.57,32.16,78.10,28.95,0.010000
24500,6.80,43.03,33.76,75.78,32.05,0.010000
25000,10.20,40.24,31.23,75.17,25.12,0.010000
25500,9.00,43.53,32.57,75.42,32.66,0.010000
26000,10.00,43.37,32.08,74.90,29.23,0.010000
26500,6.20,41.56,36.03,73.46,34.80,0.010000
27000,5.20,44.80,34.63,77.14,33.87,0.010000
27500,6.80,46.12,35.66,76.76,29.80,0.010000
28000,7.40,42.15,35.63,76.95,26.86,0.010000
28500,8.40,41.60,32.28,77.11,31.98,0.010000
