Episode,RL_Agent,Bot 60/40,Epsilon
500,4.20,47.80,0.786567
1000,2.80,48.50,0.623028
1500,1.40,49.10,0.492611
2000,2.20,48.70,0.391673
2500,1.40,49.10,0.314257
3000,1.20,49.30,0.253694
3500,0.20,49.90,0.205400
4000,0.60,49.70,0.168519
4500,0.40,49.80,0.138245
5000,1.00,49.50,0.113917
5500,0.80,49.60,0.093174
6000,1.00,49.50,0.076536
6500,0.20,49.90,0.063175
7000,1.40,49.20,0.052209
7500,1.60,49.20,0.043207
8000,0.80,49.60,0.035729
8500,1.20,49.40,0.029678
9000,1.20,49.40,0.024718
9500,0.40,49.80,0.020633
10000,0.00,50.00,0.017171
10500,0.40,49.80,0.014319
11000,1.00,49.50,0.011967
11500,0.80,49.60,0.010000
12000,0.60,49.70,0.010000
12500,0.80,49.60,0.010000
13000,0.80,49.60,0.010000
13500,0.00,50.00,0.010000
14000,1.00,49.40,0.010000
14500,0.40,49.80,0.010000
15000,0.60,49.70,0.010000
15500,0.40,49.80,0.010000
16000,0.40,49.80,0.010000
16500,0.40,49.80,0.010000
17000,0.20,49.90,0.010000
17500,0.40,49.80,0.010000
18000,0.40,49.80,0.010000
18500,0.40,49.80,0.010000
19000,0.40,49.80,0.010000
19500,0.20,49.80,0.010000
20000,0.20,49.90,0.010000
20500,0.80,49.60,0.010000
21000,0.20,49.90,0.010000
21500,0.20,49.90,0.010000
22000,0.20,49.90,0.010000
22500,0.20,49.90,0.010000
23000,0.60,49.70,0.010000
23500,0.00,50.00,0.010000
24000,0.60,49.70,0.010000
24500,0.00,50.00,0.010000
25000,0.00,50.00,0.010000
25500,0.00,50.00,0.010000
26000,0.20,49.90,0.010000
26500,0.00,50.00,0.010000
27000,0.00,50.00,0.010000
27500,0.20,49.90,0.010000
28000,0.60,49.70,0.010000
28500,0.20,49.90,0.010000
29000,0.60,49.70,0.010000
29500,0.60,49.70,0.010000
30000,0.40,49.70,0.010000
30500,0.20,49.90,0.010000
31000,0.40,49.80,0.010000
31500,0.40,49.80,0.010000
32000,0.60,49.70,0.010000
32500,0.00,50.00,0.010000
33000,0.60,49.70,0.010000
33500,0.20,49.90,0.010000
34000,0.20,49.90,0.010000
34500,0.40,49.80,0.010000
35000,0.40,49.80,0.010000
35500,0.20,49.90,0.010000
36000,0.60,49.70,0.010000
36500,0.40,49.80,0.010000
37000,0.20,49.90,0.010000
37500,0.20,49.90,0.010000
38000,0.40,49.80,0.010000
38500,0.00,49.90,0.010000
39000,0.00,50.00,0.010000
39500,0.40,49.80,0.010000
40000,0.60,49.70,0.010000
40500,0.00,50.00,0.010000
41000,0.00,50.00,0.010000
41500,0.00,50.00,0.010000
42000,0.40,49.80,0.010000
42500,0.20,49.90,0.010000
43000,0.00,49.90,0.010000
43500,0.20,49.90,0.010000
44000,0.20,49.90,0.010000
44500,0.00,50.00,0.010000
45000,0.00,50.00,0.010000
45500,0.20,49.90,0.010000
46000,0.00,50.00,0.010000
46500,0.20,49.90,0.010000
47000,0.40,49.80,0.010000
47500,0.00,50.00,0.010000
48000,0.40,49.80,0.010000
48500,0.00,50.00,0.010000
49000,0.20,49.90,0.010000
49500,0.60,49.70,0.010000
50000,0.00,50.00,0.010000
