Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
500,0.00,80.20,19.80,0.886308
1000,0.00,84.20,15.80,0.785023
1500,0.00,87.60,12.40,0.697758
2000,0.00,87.60,12.40,0.620519
2500,0.00,92.20,7.80,0.552443
3000,0.00,89.80,10.20,0.490811
3500,0.00,92.40,7.60,0.435872
4000,0.00,94.40,5.60,0.387280
4500,0.00,93.80,6.20,0.344110
5000,0.00,96.40,3.60,0.305968
5500,0.00,94.80,5.20,0.272103
6000,0.00,97.80,2.20,0.241493
6500,0.00,97.80,2.20,0.214677
7000,0.00,97.20,2.80,0.190541
7500,0.00,97.80,2.20,0.168612
8000,0.00,97.40,2.60,0.149111
8500,0.00,96.80,3.20,0.131875
9000,0.00,98.00,2.00,0.116380
9500,0.00,99.20,0.80,0.102637
10000,0.00,99.40,0.60,0.090503
10500,0.00,99.40,0.60,0.079758
11000,0.00,99.20,0.80,0.070349
11500,0.00,98.40,1.60,0.061963
12000,0.00,99.80,0.20,0.054771
12500,0.00,97.60,2.40,0.048302
13000,0.00,99.20,0.80,0.042605
13500,0.00,98.60,1.40,0.037634
14000,0.00,99.80,0.20,0.033285
14500,0.00,99.40,0.60,0.029376
15000,0.00,99.00,1.00,0.025908
15500,0.00,98.80,1.20,0.022900
16000,0.00,100.00,0.00,0.020306
16500,0.00,100.00,0.00,0.017979
17000,0.00,99.20,0.80,0.015958
17500,0.00,100.00,0.00,0.014171
18000,0.00,99.40,0.60,0.012587
18500,0.00,99.60,0.40,0.011201
19000,0.00,100.00,0.00,0.010000
19500,0.00,99.40,0.60,0.010000
20000,0.00,99.40,0.60,0.010000
20500,0.00,100.00,0.00,0.010000
21000,0.00,100.00,0.00,0.010000
21500,0.00,99.80,0.20,0.010000
22000,0.00,100.00,0.00,0.010000
22500,0.00,99.80,0.20,0.010000
23000,0.00,99.80,0.20,0.010000
23500,0.00,99.40,0.60,0.010000
24000,0.00,99.80,0.20,0.010000
24500,0.00,99.20,0.80,0.010000
25000,0.00,99.20,0.80,0.010000
25500,0.00,99.80,0.20,0.010000
26000,0.00,100.00,0.00,0.010000
26500,0.00,99.40,0.60,0.010000
27000,0.00,100.00,0.00,0.010000
27500,0.00,99.60,0.40,0.010000
28000,0.00,99.60,0.40,0.010000
28500,0.00,99.80,0.20,0.010000
29000,0.00,99.80,0.20,0.010000
29500,0.00,99.60,0.40,0.010000
30000,0.00,99.20,0.80,0.010000
30500,0.00,99.60,0.40,0.010000
31000,0.00,99.60,0.40,0.010000
31500,0.00,100.00,0.00,0.010000
32000,0.00,99.60,0.40,0.010000
32500,0.00,99.80,0.20,0.010000
33000,0.00,99.60,0.40,0.010000
33500,0.00,100.00,0.00,0.010000
34000,0.00,99.80,0.20,0.010000
34500,0.00,99.20,0.80,0.010000
35000,0.00,100.00,0.00,0.010000
35500,0.00,99.60,0.40,0.010000
36000,0.00,100.00,0.00,0.010000
36500,0.00,100.00,0.00,0.010000
37000,0.00,99.80,0.20,0.010000
37500,0.00,99.80,0.20,0.010000
38000,0.00,100.00,0.00,0.010000
38500,0.00,100.00,0.00,0.010000
39000,0.00,99.40,0.60,0.010000
39500,0.00,99.60,0.40,0.010000
40000,0.00,99.60,0.40,0.010000
40500,0.00,99.80,0.20,0.010000
41000,0.00,100.00,0.00,0.010000
41500,0.00,99.60,0.40,0.010000
42000,0.00,100.00,0.00,0.010000
42500,0.00,99.80,0.20,0.010000
43000,0.00,100.00,0.00,0.010000
43500,0.00,99.60,0.40,0.010000
44000,0.00,99.40,0.60,0.010000
44500,0.00,99.80,0.20,0.010000
45000,0.00,98.80,1.20,0.010000
45500,0.00,100.00,0.00,0.010000
46000,0.00,99.60,0.40,0.010000
46500,0.00,100.00,0.00,0.010000
47000,0.00,99.80,0.20,0.010000
47500,0.00,98.40,1.60,0.010000
48000,0.00,100.00,0.00,0.010000
48500,0.00,100.00,0.00,0.010000
49000,0.00,99.60,0.40,0.010000
49500,0.00,99.80,0.20,0.010000
50000,0.00,99.80,0.20,0.010000
