Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
500,0.00,76.60,23.40,0.990277
1000,0.00,73.40,26.60,0.980496
1500,0.00,77.20,22.80,0.970874
2000,0.00,76.80,23.20,0.961366
2500,0.00,74.20,25.80,0.951882
3000,0.00,73.40,26.60,0.942563
3500,0.00,73.20,26.80,0.933201
4000,0.00,79.60,20.40,0.924010
4500,0.00,77.00,23.00,0.914947
5000,0.00,76.40,23.60,0.905772
5500,0.00,73.00,27.00,0.896707
6000,0.00,73.00,27.00,0.887675
6500,0.00,70.60,29.40,0.878692
7000,0.00,73.60,26.40,0.869825
7500,0.00,71.60,28.40,0.860920
8000,0.00,76.60,23.40,0.852226
8500,0.00,72.80,27.20,0.843447
9000,0.00,71.40,28.60,0.834643
9500,0.00,72.80,27.20,0.825928
10000,0.00,69.60,30.40,0.817213
10500,0.00,74.60,25.40,0.808597
11000,0.00,71.40,28.60,0.799882
11500,0.00,69.20,30.80,0.791228
12000,0.00,71.40,28.60,0.782625
12500,0.00,72.80,27.20,0.774142
13000,0.00,71.80,28.20,0.765640
13500,0.00,73.00,27.00,0.757192
14000,0.00,72.40,27.60,0.748631
14500,0.00,72.20,27.80,0.740028
15000,0.00,70.00,30.00,0.731700
15500,0.00,74.20,25.80,0.723301
16000,0.00,68.00,32.00,0.714687
16500,0.00,70.80,29.20,0.706436
17000,0.00,73.00,27.00,0.698187
17500,0.00,70.60,29.40,0.690000
18000,0.00,73.00,27.00,0.681640
18500,0.00,67.20,32.80,0.673323
19000,0.00,68.00,32.00,0.665175
19500,0.00,68.20,31.80,0.656840
20000,0.00,70.00,30.00,0.648747
20500,0.00,69.40,30.60,0.640522
21000,0.00,67.40,32.60,0.632261
21500,0.00,69.40,30.60,0.624062
22000,0.00,70.00,30.00,0.615823
22500,0.00,67.40,32.60,0.607534
23000,0.00,63.80,36.20,0.599303
23500,0.00,68.00,32.00,0.591267
24000,0.00,65.80,34.20,0.583019
24500,0.00,68.80,31.20,0.574702
25000,0.00,67.20,32.80,0.566191
25500,0.00,67.80,32.20,0.557827
26000,0.00,59.60,40.40,0.549332
26500,0.00,62.20,37.80,0.540867
27000,0.00,61.00,39.00,0.532385
27500,0.00,62.60,37.40,0.523770
28000,0.00,61.80,38.20,0.515132
28500,0.00,60.20,39.80,0.506193
29000,0.00,62.40,37.60,0.497740
29500,0.00,57.40,42.60,0.488816
30000,0.00,57.40,42.60,0.480054
30500,0.00,63.20,36.60,0.471411
31000,0.00,58.40,41.60,0.462336
31500,0.00,62.20,37.60,0.453474
32000,0.00,60.80,39.20,0.444602
32500,0.00,58.20,41.60,0.435362
33000,0.00,60.80,39.20,0.426419
33500,0.00,57.60,42.40,0.417523
34000,0.00,58.60,41.20,0.408549
34500,0.00,61.20,38.80,0.399493
35000,0.00,53.40,46.20,0.390340
35500,0.00,52.20,47.40,0.381414
36000,0.00,50.60,49.20,0.372146
36500,0.00,53.20,46.20,0.363183
37000,0.00,52.80,46.60,0.354190
37500,0.00,60.60,38.60,0.345114
