Episode,RL_Agent,Bot Honest,Epsilon
500,7.40,46.30,0.861883
1000,8.40,45.80,0.739384
1500,13.00,43.50,0.633707
2000,22.20,38.90,0.543615
2500,25.40,37.30,0.467066
3000,27.20,36.40,0.401308
3500,33.60,33.20,0.344368
4000,34.00,33.00,0.295242
4500,32.00,34.00,0.253633
5000,33.00,33.50,0.217565
5500,34.60,32.70,0.186808
6000,34.60,32.70,0.160553
6500,32.00,34.00,0.138148
7000,26.60,36.70,0.120025
7500,28.60,35.70,0.104436
8000,25.20,37.40,0.091188
8500,22.60,38.70,0.079343
9000,22.60,38.70,0.069340
9500,25.40,37.30,0.060440
10000,15.80,42.10,0.053342
10500,20.40,39.80,0.047372
11000,14.80,42.60,0.042015
11500,18.60,40.70,0.036955
12000,20.60,39.70,0.032440
12500,21.40,39.30,0.028436
13000,23.00,38.50,0.024963
13500,19.80,40.10,0.021987
14000,20.40,39.80,0.019285
14500,15.20,42.40,0.017022
15000,14.00,43.00,0.015071
15500,19.60,40.20,0.013309
16000,20.00,40.00,0.011710
16500,18.20,40.90,0.010386
17000,16.60,41.70,0.010000
17500,17.40,41.30,0.010000
18000,17.80,41.10,0.010000
18500,14.40,42.80,0.010000
19000,13.60,43.20,0.010000
19500,16.00,42.00,0.010000
20000,16.80,41.60,0.010000
20500,18.80,40.60,0.010000
21000,18.20,40.90,0.010000
21500,15.80,42.10,0.010000
22000,11.60,44.20,0.010000
22500,13.80,43.10,0.010000
23000,16.80,41.60,0.010000
23500,11.80,44.10,0.010000
24000,13.80,43.10,0.010000
24500,13.40,43.30,0.010000
25000,13.20,43.40,0.010000
25500,16.00,42.00,0.010000
26000,19.20,40.40,0.010000
26500,18.60,40.70,0.010000
27000,15.80,42.10,0.010000
27500,16.60,41.70,0.010000
28000,15.80,42.10,0.010000
28500,17.00,41.50,0.010000
29000,21.00,39.50,0.010000
29500,19.40,40.30,0.010000
30000,18.40,40.80,0.010000
30500,19.40,40.30,0.010000
31000,23.40,38.30,0.010000
31500,21.40,39.30,0.010000
32000,19.80,40.10,0.010000
32500,18.80,40.60,0.010000
33000,15.60,42.20,0.010000
33500,20.60,39.70,0.010000
34000,17.60,41.20,0.010000
34500,19.20,40.40,0.010000
35000,19.40,40.30,0.010000
35500,23.00,38.50,0.010000
36000,22.20,38.90,0.010000
36500,18.80,40.60,0.010000
37000,21.00,39.50,0.010000
37500,22.20,38.90,0.010000
38000,18.00,41.00,0.010000
38500,20.60,39.70,0.010000
39000,18.20,40.90,0.010000
39500,21.80,39.10,0.010000
40000,19.40,40.30,0.010000
40500,20.40,39.80,0.010000
41000,25.60,37.20,0.010000
41500,21.20,39.40,0.010000
42000,22.80,38.60,0.010000
42500,24.40,37.80,0.010000
43000,21.80,39.10,0.010000
43500,22.40,38.80,0.010000
44000,25.60,37.20,0.010000
44500,23.40,38.30,0.010000
45000,20.20,39.90,0.010000
45500,22.60,38.70,0.010000
46000,19.40,40.30,0.010000
46500,21.60,39.20,0.010000
47000,22.00,39.00,0.010000
47500,22.20,38.90,0.010000
48000,26.20,36.90,0.010000
48500,18.40,40.80,0.010000
49000,21.20,39.40,0.010000
49500,16.40,41.80,0.010000
50000,25.40,37.30,0.010000
