Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,1.20,42.32,34.39,78.97,32.88
1000,1.80,45.69,38.02,82.02,31.40
1500,1.80,51.04,37.14,77.01,28.85
2000,0.40,48.16,38.78,78.26,33.46
2500,0.60,50.98,37.39,80.80,33.33
3000,1.80,44.90,32.81,76.98,38.40
3500,1.40,50.60,37.94,79.91,30.53
4000,1.20,52.56,32.32,78.46,33.33
4500,2.60,52.32,29.39,76.67,31.85
5000,1.00,46.54,38.78,77.08,33.47
5500,2.20,49.80,35.94,76.54,29.00
6000,1.00,55.65,32.50,77.73,34.16
6500,2.80,52.08,34.75,74.60,33.33
7000,1.20,47.39,37.25,80.75,33.58
7500,1.60,51.36,32.24,80.24,32.00
8000,2.20,47.92,32.57,77.74,35.04
8500,1.20,50.00,36.03,78.43,29.92
9000,2.60,47.11,32.49,78.68,35.36
9500,1.80,47.17,40.87,74.59,33.89
10000,2.20,47.06,33.05,77.54,38.28
10500,2.20,48.58,36.61,73.47,37.80
11000,2.80,51.28,33.33,79.34,34.78
11500,2.40,45.93,33.46,80.88,33.33
12000,4.60,51.85,29.83,77.37,33.33
12500,2.60,49.41,32.79,75.40,35.89
13000,2.00,52.81,35.42,77.02,32.00
13500,3.60,45.31,33.73,74.80,37.76
14000,3.60,49.36,33.59,74.71,33.60
14500,2.80,45.59,34.98,75.67,35.19
15000,2.60,44.94,38.32,76.38,31.45
15500,3.00,50.57,33.08,78.11,34.31
16000,5.60,48.10,35.50,75.79,29.32
16500,2.80,52.89,31.97,76.89,30.80
17000,3.40,44.92,33.18,78.91,34.67
17500,2.80,50.81,32.37,77.39,32.14
18000,1.80,50.56,32.73,82.05,32.59
18500,3.40,53.93,30.71,73.66,33.18
19000,2.20,43.92,33.06,76.98,39.15
19500,2.60,49.81,30.99,79.27,33.33
20000,1.60,51.04,35.78,77.27,30.80
20500,1.60,48.13,35.66,77.36,33.20
21000,2.20,49.40,35.92,78.09,32.02
21500,2.80,46.77,35.79,80.17,34.94
22000,3.80,47.48,34.40,80.99,29.13
22500,2.80,46.67,35.07,79.49,34.21
23000,1.20,52.78,32.79,78.04,32.52
23500,3.20,46.31,32.10,81.10,33.33
24000,3.60,48.26,35.09,75.77,31.84
24500,3.00,43.15,36.13,78.81,32.14
25000,2.00,46.40,37.30,78.81,34.30
25500,2.40,44.53,35.63,77.87,34.84
26000,2.60,49.80,35.43,73.41,34.85
26500,2.60,42.59,32.79,79.31,37.55
27000,2.60,46.48,38.89,79.49,32.17
27500,3.20,46.91,34.29,74.69,37.50
28000,3.00,47.83,37.10,80.19,34.94
28500,3.20,45.62,35.39,74.07,38.33
29000,1.40,50.64,30.98,82.30,35.21
29500,2.60,45.18,31.37,78.24,38.04
30000,2.00,45.32,37.50,76.69,38.17
30500,0.80,44.48,38.37,76.62,39.57
31000,1.40,49.61,36.99,75.41,35.32
31500,3.40,43.70,39.18,81.30,32.16
32000,2.60,50.00,34.10,74.69,36.02
32500,2.40,47.98,32.81,78.71,36.03
33000,3.20,44.44,36.59,77.13,33.61
33500,3.40,49.34,36.10,74.32,33.47
34000,2.60,45.67,34.11,80.72,33.47
34500,3.60,43.09,35.63,78.15,37.65
35000,2.00,46.88,33.74,77.22,38.79
35500,3.00,45.52,35.93,78.51,33.33
36000,2.40,45.23,37.65,76.33,35.91
36500,4.80,48.95,30.85,76.31,35.65
37000,3.60,50.61,35.34,78.80,28.12
37500,4.20,46.74,35.20,77.73,31.40
38000,4.00,45.83,32.96,76.83,37.30
38500,2.00,45.02,40.65,76.86,31.58
39000,4.20,46.69,33.96,77.55,33.91
39500,5.40,42.44,39.39,78.37,30.04
40000,2.60,46.69,36.20,80.16,32.33
40500,3.80,51.54,36.22,76.61,30.26
41000,1.20,46.48,41.57,80.80,32.81
41500,2.20,48.37,34.43,80.42,33.61
42000,1.60,44.49,37.55,77.58,40.67
42500,2.00,46.01,36.94,78.81,35.19
43000,1.40,41.07,39.59,78.01,32.53
43500,2.00,44.44,37.65,78.28,36.19
44000,3.40,45.73,38.20,73.98,36.36
44500,2.60,45.08,39.68,77.69,34.08
45000,2.20,44.36,34.51,76.84,35.92
45500,1.60,50.22,38.71,74.91,31.25
46000,2.60,49.56,36.78,76.54,32.96
46500,3.00,47.06,32.77,76.98,35.14
47000,1.80,47.27,37.08,77.68,37.55
47500,2.00,49.43,35.84,71.21,37.30
48000,2.00,44.26,35.06,80.23,34.41
48500,1.40,48.46,30.62,76.77,39.47
49000,1.80,47.29,33.07,78.08,33.77
49500,1.00,46.69,32.63,77.04,40.00
50000,1.80,47.49,33.04,75.55,35.83
50500,2.00,45.68,36.21,82.04,33.46
51000,0.80,48.39,35.06,75.90,39.29
51500,1.20,48.22,38.80,76.10,33.33
52000,0.60,50.20,35.55,77.20,34.73
52500,1.20,51.10,39.56,73.71,35.82
53000,0.60,42.79,39.48,80.92,34.13
53500,1.00,48.11,35.77,77.14,36.73
54000,2.00,50.40,34.27,77.39,31.69
54500,4.00,48.05,33.33,75.48,32.92
55000,6.00,44.40,34.23,77.91,31.03
55500,3.60,44.77,35.44,81.25,35.11
56000,3.60,44.84,37.61,80.49,30.60
56500,5.00,45.04,37.59,76.79,32.79
57000,1.40,48.11,40.64,72.84,37.15
57500,2.80,47.06,37.25,77.25,34.68
58000,1.60,47.35,38.20,77.90,30.98
58500,1.60,49.18,33.62,77.98,29.55
59000,1.00,50.97,39.43,75.81,30.36
59500,2.00,48.43,33.33,80.25,35.97
60000,1.80,45.49,38.87,75.31,37.30
60500,1.00,48.33,30.40,77.33,42.50
61000,1.60,49.80,35.25,78.17,37.07
61500,2.20,46.89,34.84,78.33,37.45
62000,2.20,47.83,38.93,76.71,31.78
62500,1.40,47.41,33.33,78.40,37.65
63000,1.80,45.56,37.28,78.78,34.70
63500,3.20,49.19,27.56,76.95,38.84
64000,2.20,47.06,34.63,72.83,36.55
64500,3.20,51.85,31.13,76.42,35.04
65000,3.80,52.44,28.99,78.71,31.78
65500,2.80,44.74,38.52,77.82,35.74
66000,2.60,47.54,35.32,77.69,35.10
66500,5.20,45.22,37.45,76.27,32.30
67000,3.80,45.71,38.02,76.69,34.66
67500,2.00,48.00,37.45,74.80,34.84
68000,5.00,48.22,34.98,76.34,33.75
68500,5.40,42.41,33.47,77.95,32.31
69000,2.60,46.99,37.86,76.72,35.87
69500,2.60,46.89,36.47,77.31,32.79
70000,2.80,47.45,39.26,77.55,30.62
70500,2.80,47.77,39.44,74.22,32.11
71000,4.00,48.97,33.71,76.74,30.21
71500,3.40,47.50,33.47,79.92,30.80
72000,4.40,44.94,37.34,74.72,31.58
72500,3.00,48.39,33.47,76.31,36.08
73000,3.60,49.19,34.77,72.27,35.83
73500,2.00,45.31,33.33,78.03,36.65
74000,2.40,44.90,34.51,76.84,35.41
74500,3.60,42.51,37.65,79.75,35.25
75000,2.40,48.52,33.99,76.75,32.22
75500,2.60,51.61,32.92,76.89,33.33
76000,2.20,52.90,32.48,73.15,35.20
76500,4.20,47.56,32.95,79.58,32.41
77000,4.20,46.64,34.00,76.98,33.46
77500,0.60,48.48,37.90,77.11,33.89
78000,0.80,46.94,38.87,74.90,36.76
78500,1.40,51.60,35.92,73.31,33.47
79000,1.00,47.81,35.74,79.76,35.42
79500,2.60,47.33,37.60,77.68,34.51
80000,1.80,50.61,37.50,76.36,30.74
80500,1.80,52.09,35.27,76.71,36.15
81000,3.40,44.00,34.84,78.46,34.69
81500,5.80,41.90,36.21,74.72,31.49
82000,6.80,42.74,34.40,75.19,30.96
82500,5.80,48.10,35.89,72.56,30.12
83000,8.00,44.44,32.00,80.08,27.13
83500,6.20,41.57,39.76,77.22,27.00
84000,5.60,45.74,29.80,80.74,32.41
84500,3.60,46.54,33.90,76.13,36.78
85000,4.60,45.20,32.94,81.01,30.00
85500,7.20,45.63,33.33,72.55,32.58
86000,6.60,46.98,32.09,77.91,31.08
86500,4.40,46.40,30.60,77.60,37.07
87000,0.60,50.67,33.73,75.00,40.36
87500,0.40,44.79,39.13,75.88,37.80
88000,4.00,48.28,34.39,77.78,31.94
88500,2.00,48.12,32.93,74.63,37.04
89000,3.20,45.16,33.72,78.66,34.87
89500,1.80,51.63,34.29,75.19,33.60
90000,4.80,43.95,39.15,72.49,31.85
90500,4.60,47.81,34.68,73.47,34.77
91000,2.40,51.17,33.06,78.10,32.68
91500,3.40,48.73,35.32,76.45,31.85
92000,2.20,50.75,35.07,76.65,35.15
92500,1.00,45.67,40.86,80.17,31.74
93000,2.20,47.64,37.34,78.09,33.09
93500,1.80,51.02,38.82,74.18,28.81
94000,2.20,49.81,35.04,73.39,36.36
94500,3.00,52.67,32.39,76.42,35.11
95000,2.80,47.24,33.04,73.31,37.55
95500,4.00,44.19,37.55,78.51,32.44
96000,3.60,51.36,31.93,75.38,31.84
96500,2.80,51.89,35.39,75.73,32.28
97000,4.60,46.09,37.05,75.23,36.53
97500,5.40,45.53,35.59,76.80,30.74
98000,1.40,47.86,37.55,75.56,33.33
98500,1.60,50.36,36.86,76.86,34.03
99000,1.00,46.08,37.90,78.23,33.33
99500,1.80,50.38,36.36,76.25,33.20
100000,3.80,47.08,33.05,80.09,35.52
