Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
500,1.80,54.79,32.64,81.40,32.63,0.939460
1000,1.40,46.19,36.29,77.37,37.00,0.880003
1500,1.20,46.26,39.43,76.28,35.04,0.824123
2000,1.00,50.20,35.94,77.82,34.80,0.773635
2500,1.40,45.35,35.84,79.13,34.73,0.724868
3000,0.80,49.02,34.78,78.71,34.98,0.679542
3500,0.00,50.57,35.37,79.84,32.68,0.638406
4000,0.60,48.80,34.02,78.24,38.95,0.598795
4500,0.60,43.37,39.78,83.40,33.47,0.562794
5000,0.20,49.06,32.59,78.66,36.33,0.528794
5500,0.60,54.29,32.95,77.59,36.64,0.496656
6000,0.60,48.82,32.48,78.46,36.11,0.467322
6500,0.80,50.81,37.80,75.95,36.06,0.439797
7000,0.40,47.68,35.97,78.60,36.36,0.413937
7500,0.60,49.62,42.39,75.21,33.07,0.389755
8000,0.00,50.58,38.24,78.00,32.55,0.366936
8500,0.40,46.40,37.23,80.51,37.50,0.345098
9000,0.40,52.34,34.33,75.10,38.31,0.325188
9500,0.00,50.45,32.86,79.92,38.02,0.306687
10000,0.00,49.20,37.20,74.71,37.24,0.288835
10500,0.00,46.09,40.08,76.11,38.46,0.272404
11000,0.00,44.53,34.31,83.72,35.94,0.257118
11500,0.20,44.02,37.50,75.00,38.46,0.243007
12000,0.00,45.42,41.15,78.26,34.41,0.229111
12500,0.20,45.83,38.78,77.78,41.03,0.216166
13000,0.00,44.79,41.89,78.88,36.48,0.204074
13500,0.00,41.22,40.65,76.52,38.78,0.192427
14000,0.00,45.56,40.53,77.87,38.34,0.181455
14500,0.20,44.87,35.86,76.54,42.41,0.171359
15000,0.00,45.53,37.22,78.80,38.96,0.161853
15500,0.00,45.63,38.11,75.97,39.02,0.152951
16000,0.20,41.77,40.46,82.82,38.55,0.144272
16500,0.00,44.85,40.66,75.29,37.28,0.136323
17000,0.00,45.20,39.61,77.78,37.04,0.128799
17500,0.00,47.31,36.93,78.37,36.60,0.121780
18000,0.00,50.22,36.54,77.29,37.02,0.115255
18500,0.00,44.88,33.48,80.91,41.54,0.109023
19000,0.00,38.46,39.00,81.32,40.08,0.103161
19500,0.00,45.11,39.23,75.40,39.64,0.097609
20000,0.00,45.08,39.04,77.61,36.55,0.092312
20500,0.00,44.59,42.97,77.99,33.20,0.087395
21000,0.00,42.37,42.63,77.14,38.43,0.082752
21500,0.00,42.91,41.04,79.58,38.04,0.078204
22000,0.00,43.36,41.57,78.35,39.43,0.074021
22500,0.00,41.95,39.25,76.03,44.25,0.070053
23000,0.00,46.56,36.67,75.70,40.49,0.066258
23500,0.00,40.74,38.20,79.13,45.49,0.062752
24000,0.00,47.37,37.64,79.49,38.28,0.059465
24500,0.00,50.96,35.51,75.55,40.38,0.056266
25000,0.00,47.11,39.52,75.29,37.65,0.053314
25500,0.00,49.79,36.76,75.69,37.35,0.050507
26000,0.00,45.21,40.00,79.63,40.29,0.047881
26500,0.00,47.13,36.05,77.04,38.39,0.045327
27000,0.00,42.34,37.78,81.95,35.25,0.042956
27500,0.00,46.49,37.50,81.35,35.00,0.040643
28000,0.00,43.33,40.59,77.82,34.55,0.038548
28500,0.00,43.62,42.37,77.14,37.60,0.036460
29000,0.00,47.39,37.98,79.74,38.06,0.034495
29500,0.00,42.80,41.77,78.52,33.61,0.032643
30000,0.00,40.00,41.67,78.80,39.51,0.030923
30500,0.00,43.51,38.91,75.68,40.82,0.029303
31000,0.00,44.11,37.55,75.00,43.25,0.027794
31500,0.00,44.20,40.97,78.14,36.80,0.026363
32000,0.00,43.61,42.68,80.48,32.79,0.024991
32500,0.00,50.20,41.27,73.95,36.19,0.023698
33000,0.00,38.16,43.66,79.17,35.83,0.022456
33500,0.00,43.25,38.87,81.48,37.60,0.021288
34000,0.00,44.83,39.44,77.43,36.80,0.020207
34500,0.00,40.33,44.36,79.49,38.35,0.019138
35000,0.00,42.17,46.27,77.69,34.09,0.018139
35500,0.00,43.44,39.27,77.78,38.27,0.017209
36000,0.00,44.74,41.04,82.52,32.95,0.016332
36500,0.00,42.79,41.29,78.21,36.80,0.015485
37000,0.00,45.27,37.91,78.88,37.99,0.014691
37500,0.00,42.86,41.20,77.51,38.55,0.013919
38000,0.00,45.35,45.53,74.58,35.04,0.013208
38500,0.00,42.58,42.50,79.83,37.22,0.012537
39000,0.00,45.64,43.30,73.76,35.32,0.011885
39500,0.00,42.34,44.40,75.11,39.15,0.011264
40000,0.00,41.57,42.13,77.82,38.55,0.010677
40500,0.00,40.68,45.83,74.61,38.43,0.010111
41000,0.00,37.94,42.02,82.47,37.60,0.010000
41500,0.00,41.70,44.64,76.92,35.80,0.010000
42000,0.00,43.02,40.46,80.74,36.44,0.010000
42500,0.00,44.15,39.15,78.02,41.22,0.010000
43000,0.00,46.78,37.94,77.58,33.05,0.010000
43500,0.00,43.90,42.07,81.36,34.82,0.010000
44000,0.00,42.49,41.56,78.99,36.33,0.010000
44500,0.00,39.92,41.39,80.89,38.55,0.010000
45000,0.00,43.60,42.26,75.75,35.80,0.010000
45500,0.00,39.46,45.93,80.97,34.86,0.010000
46000,0.00,42.39,42.21,77.37,39.26,0.010000
46500,0.00,49.20,41.80,77.92,33.08,0.010000
47000,0.00,48.00,41.73,75.68,38.69,0.010000
47500,0.00,44.26,42.69,81.20,31.71,0.010000
48000,0.00,44.81,39.26,78.60,37.96,0.010000
48500,0.00,44.62,39.31,77.25,37.93,0.010000
49000,0.00,39.83,39.92,77.90,39.75,0.010000
49500,0.00,42.80,44.26,73.36,38.55,0.010000
50000,0.00,40.00,37.70,81.20,38.40,0.010000
50500,0.00,44.57,46.18,74.80,34.19,0.010000
51000,0.00,41.88,44.98,76.54,37.96,0.010000
51500,0.00,43.73,40.34,77.11,38.80,0.010000
52000,0.00,43.04,42.41,79.10,32.35,0.010000
52500,0.00,44.03,43.58,76.84,33.33,0.010000
53000,0.00,42.98,40.50,75.29,40.08,0.010000
53500,0.00,48.88,35.32,77.20,37.50,0.010000
54000,0.00,45.42,34.23,80.39,38.60,0.010000
54500,0.00,38.02,41.27,78.21,41.37,0.010000
55000,0.00,42.68,43.09,77.95,34.52,0.010000
55500,0.00,41.50,41.25,79.25,39.47,0.010000
56000,0.00,45.26,43.51,75.41,37.02,0.010000
56500,0.00,43.33,40.38,78.17,41.35,0.010000
57000,0.00,40.91,38.37,78.31,39.00,0.010000
57500,0.00,46.94,38.87,75.30,38.91,0.010000
58000,0.00,45.56,38.37,78.52,34.18,0.010000
58500,0.00,40.00,44.40,79.08,37.82,0.010000
59000,0.00,43.53,37.31,76.23,41.15,0.010000
59500,0.00,42.23,45.91,80.77,28.45,0.010000
60000,0.00,47.62,41.00,75.19,34.85,0.010000
60500,0.00,43.43,41.53,74.17,38.02,0.010000
61000,0.00,44.31,41.70,80.32,34.44,0.010000
61500,0.00,42.17,42.37,79.63,32.65,0.010000
62000,0.00,43.80,40.91,77.39,35.92,0.010000
62500,0.00,42.19,47.69,78.11,34.26,0.010000
63000,0.00,41.70,44.24,81.50,36.19,0.010000
63500,0.00,45.45,43.09,76.29,37.60,0.010000
64000,0.00,42.69,42.65,79.53,35.46,0.010000
64500,0.00,40.65,42.29,80.99,37.45,0.010000
65000,0.00,40.82,39.68,82.61,40.23,0.010000
65500,0.00,43.41,42.24,75.20,39.23,0.010000
66000,0.00,47.29,35.82,82.63,36.55,0.010000
66500,0.00,44.44,43.75,73.25,39.36,0.010000
67000,0.00,47.04,43.08,76.32,36.68,0.010000
67500,0.00,38.33,41.47,79.25,38.40,0.010000
68000,0.00,43.51,38.15,76.52,39.92,0.010000
68500,0.00,46.54,39.44,74.79,40.08,0.010000
69000,0.00,46.48,39.57,77.02,37.16,0.010000
69500,0.00,50.98,38.11,73.48,35.02,0.010000
70000,0.00,42.62,40.32,76.32,38.40,0.010000
70500,0.00,45.38,41.80,76.45,37.74,0.010000
71000,0.00,44.02,43.61,75.68,35.27,0.010000
71500,0.00,42.50,40.26,76.68,40.22,0.010000
