Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40
500,1.60,51.66,32.58,79.84,30.88
1000,3.40,46.96,33.72,78.51,34.39
1500,5.80,47.84,29.78,75.67,33.05
2000,8.00,45.61,33.47,74.72,26.80
2500,9.00,45.36,40.09,66.26,28.51
3000,10.20,42.68,37.50,71.83,27.35
3500,15.20,37.17,36.82,66.54,27.23
4000,13.00,39.83,36.78,67.42,28.46
4500,14.20,37.30,39.27,69.76,25.30
5000,11.40,42.62,34.92,69.48,30.15
5500,12.80,41.56,36.73,69.76,27.54
6000,14.80,34.50,38.67,69.88,27.00
6500,13.80,40.80,34.04,70.80,27.17
7000,10.80,42.46,33.61,72.65,29.34
7500,10.60,45.87,37.93,67.46,26.53
8000,12.60,45.14,33.20,66.93,27.49
8500,10.40,42.22,33.04,70.27,30.71
9000,10.00,41.80,30.65,72.31,33.87
9500,10.20,42.45,38.31,68.05,31.23
10000,9.60,43.58,39.31,69.96,28.84
10500,9.00,37.55,42.86,71.83,28.09
11000,10.00,44.40,34.34,75.00,27.60
11500,10.40,41.80,37.07,70.49,30.71
12000,10.40,42.08,35.77,75.79,26.59
12500,11.40,38.63,36.55,70.49,30.87
13000,10.40,41.67,39.04,68.11,29.22
13500,10.80,41.03,37.00,69.40,29.52
14000,10.80,44.58,42.13,63.67,29.64
14500,9.20,42.62,39.68,72.80,24.28
15000,9.20,41.99,36.95,69.84,32.09
15500,10.60,38.02,36.96,71.86,34.14
16000,9.80,40.32,36.19,71.49,31.95
16500,9.40,47.33,37.01,73.75,25.10
17000,6.20,44.66,37.02,72.27,32.81
17500,8.20,41.08,38.40,73.06,28.29
18000,8.40,40.74,37.35,74.44,26.96
18500,6.40,47.28,34.57,74.32,30.27
19000,10.00,38.98,41.27,71.98,26.67
19500,9.60,42.02,37.60,69.32,30.47
20000,9.80,44.58,38.21,71.15,25.20
20500,12.00,38.62,39.83,69.44,27.97
21000,8.20,47.79,39.75,69.40,23.85
21500,10.00,42.80,38.46,74.30,24.71
22000,8.60,39.38,35.83,77.96,30.08
22500,8.80,46.56,37.08,71.86,23.40
23000,11.80,42.80,35.16,72.50,26.72
23500,9.20,44.98,39.83,71.37,26.34
24000,9.80,41.42,41.10,66.67,27.71
24500,11.60,43.62,38.62,66.95,30.58
25000,9.20,38.91,38.49,71.43,29.33
25500,8.00,42.28,44.36,72.41,27.92
26000,9.80,45.81,38.20,65.74,30.59
26500,8.40,41.41,39.34,72.59,27.39
27000,6.80,45.42,37.24,76.11,26.98
27500,8.80,43.80,37.16,71.60,29.55
28000,8.80,45.63,39.68,67.08,29.25
28500,7.60,41.83,34.80,79.92,28.81
29000,8.20,38.87,38.43,73.68,29.80
29500,7.60,45.93,38.08,71.97,25.65
30000,8.20,42.16,40.83,71.37,31.40
30500,6.60,38.31,40.25,77.25,30.65
31000,6.20,44.81,42.20,72.69,30.40
31500,11.20,38.37,33.86,76.86,31.66
32000,8.60,41.80,41.04,75.43,28.21
32500,10.60,36.19,36.55,80.00,23.50
33000,9.80,39.15,37.25,73.28,29.30
33500,9.60,44.62,40.00,73.20,22.08
34000,9.20,38.87,36.51,76.76,31.15
34500,9.40,41.22,38.67,74.80,26.27
35000,8.80,40.38,40.34,73.09,28.46
35500,9.20,40.70,34.04,75.40,31.27
36000,11.40,41.13,38.98,71.60,27.11
36500,10.20,41.94,37.50,72.11,27.67
37000,9.80,44.96,34.57,72.31,25.52
37500,10.80,35.88,41.77,74.48,28.63
38000,10.60,42.65,37.70,69.00,31.05
38500,10.20,42.91,34.78,72.69,26.67
39000,8.40,43.35,38.26,74.06,27.78
39500,10.80,40.07,41.86,69.36,28.33
40000,9.20,45.34,39.27,73.08,22.36
40500,13.00,34.88,39.04,75.64,26.07
41000,10.80,40.53,35.17,71.97,27.54
41500,10.80,44.27,36.26,69.01,29.63
42000,8.80,41.09,44.87,70.28,27.03
42500,9.40,41.45,40.79,72.20,27.24
43000,7.80,42.11,40.00,69.50,28.80
43500,8.80,38.59,43.27,73.28,28.09
44000,9.20,41.38,33.48,75.41,31.70
44500,13.20,39.27,36.77,68.70,30.60
45000,10.20,38.95,41.81,69.08,30.16
45500,8.80,37.89,44.58,67.74,31.98
46000,7.00,45.85,40.96,73.33,24.69
46500,7.40,41.83,39.62,75.00,28.63
47000,10.20,39.13,36.70,77.31,27.27
47500,11.00,40.56,36.43,70.33,26.36
48000,10.20,34.39,38.58,76.40,26.94
48500,10.60,38.11,38.00,73.02,28.33
49000,11.40,43.46,37.65,73.11,25.90
49500,13.80,38.87,36.47,70.56,26.80
50000,13.80,40.41,36.28,68.44,26.71
